,brandName,breadcrumbs,color,currency,inStock,listedPrice,material,mpn,name,new_path,nodeName,rating,reviewCount,salePrice,scrapedDate,sku,url,categories
9,Brand: Amazon,,,USD,True,49.99,,,"Amazon Fire TV Stick 4K (newest model) with AI-powered Fire TV Search, Wi-Fi 6, stream over 1.5 million movies and shows, free & live TV",Amazon Devices & Accessories,Amazon Devices & Accessories,4.7,52664.0,34.99,2025-01-23T11:04:21Z,B0CJM1GNFQ,https://www.amazon.com/Amazon-Fire-TV-Stick-4K-streaming-device/dp/B0CJM1GNFQ,Amazon Devices & Accessories
13,,,,USD,,,,,Blink Plus,Amazon Devices & Accessories > Amazon Device Subscriptions,Amazon Devices & Accessories > Amazon Device Subscriptions,,,100.0,2025-01-23T11:05:10Z,B08JHG867P,,Amazon Devices & Accessories
46,Brand: Amazon,,,USD,True,,,,Ethernet Adapter for Amazon Fire TV Devices,Amazon Devices & Accessories > Amazon Device Accessories > Adapters & Connectors,Amazon Devices & Accessories > Amazon Device Accessories > Adapters & Connectors,4.5,74422.0,14.99,2025-01-23T11:06:21Z,B074TC662N,https://www.amazon.com/Amazon-Ethernet-Adapter-Fire-Devices/dp/B074TC662N,Amazon Devices & Accessories
47,Brand: Amazon,,,,False,,,,"Echo Buds (2023 Release) Replacement Silicone Earbud Covers, fit in case while charging",Amazon Devices & Accessories > Amazon Device Accessories > Audio,Amazon Devices & Accessories > Amazon Device Accessories > Audio,4.2,87.0,,2025-01-23T11:06:22Z,B0BWKXP8X5,https://www.amazon.com/Release-Replacement-Silicone-Earbud-charging/dp/B0BWKXP8X5,Amazon Devices & Accessories
56,,"[{""name"": ""Electronics""}, {""name"": ""Computers & Accessories""}, {""name"": ""Computer Components""}, {""name"": ""Computer Screws""}]",,USD,True,,Stainless Steel,SGTKJSJS,"PCIe NVMe M.2 SSD Mounting Screws Kit for Asus Gigabyte ASRock Msi Motherboards, 30pcs",Computers & Accessories > Computer Components > Computer Screws,Computers & Accessories > Computer Components > Computer Screws,4.7,2753.0,6.99,2025-01-23T11:06:44Z,B08ZD81HDR,https://www.amazon.com/Mounting-Screws-Gigabyte-ASRock-Motherboards/dp/B08ZD81HDR,Computers & Accessories
58,,"[{""name"": ""Electronics""}, {""name"": ""Accessories & Supplies""}, {""name"": ""Cable Organizer Bags & Cases""}]",Black,USD,True,12.99,,FYY-BR-C-002-Cable-Organizer-BK,"FYY Travel Cable Organizer Pouch Electronic Accessories Carry Case Portable Waterproof Double Layers All-in-One Storage Bag for Cord, Charger, Phone, Earphone Black",Electronics > Accessories & Supplies > Cable Organizer Bags & Cases,Electronics > Accessories & Supplies > Cable Organizer Bags & Cases,4.5,26408.0,9.85,2025-01-23T11:06:45Z,B0924H4XB9,https://www.amazon.com/FYY-Electronic-Organizer-Accessories-Waterproof/dp/B0924H4XB9,Electronics
102,UOTOO,"[{""name"": ""Electronics""}, {""name"": ""Computers & Accessories""}, {""name"": ""Computer Components""}, {""name"": ""Laptop Replacement Parts""}]",Black,USD,True,,Rubber,BF-8P,"8 Pcs Laptop Rubber Feet(0.7 inch Diameter), Non-Slip Replacement Bottom Feet for MacBook Case (MacBook Pro/MacBook Air Shell Cover)",Computers & Accessories > Computer Components > Computer Screws > Laptop Replacement Parts,Computers & Accessories > Computer Components > Computer Screws > Laptop Replacement Parts,4.3,2997.0,3.98,2025-01-23T11:08:07Z,B087774VG5,https://www.amazon.com/UOTOO-Laptop-Diameter-Replacement-MacBook/dp/B087774VG5,Computers & Accessories
103,Arduino,"[{""name"": ""Electronics""}, {""name"": ""Computers & Accessories""}, {""name"": ""Computer Components""}, {""name"": ""Single Board Computers""}]",,USD,True,,,ABX00087,"Arduino UNO R4 WiFi [ABX00087] - Renesas RA4M1 / ESP32-S3 - Wi-Fi, Bluetooth, USB-C, CAN, DAC, OP AMP, Qwiic Connector, 12x8 LED Matrix",Computers & Accessories > Computer Components > Computer Screws > Single Board Computers,Computers & Accessories > Computer Components > Computer Screws > Single Board Computers,4.7,924.0,27.99,2025-01-23T11:08:08Z,B0C8V88Z9D,https://www.amazon.com/Arduino-UNO-WiFi-ABX00087-Bluetooth/dp/B0C8V88Z9D,Computers & Accessories
106,Corsair,"[{""name"": ""Electronics""}, {""name"": ""Computers & Accessories""}, {""name"": ""Computer Components""}, {""name"": ""Internal Components""}, {""name"": ""Memory""}]",Black,USD,True,79.99,,CMK32GX4M2E3200C16,CORSAIR VENGEANCE LPX DDR4 RAM 32GB (2x16GB) 3200MHz CL16-20-20-38 1.35V Intel AMD Desktop Computer Memory - Black (CMK32GX4M2E3200C16),Computers & Accessories > Computer Components > Computer Screws > Internal Components,Computers & Accessories > Computer Components > Computer Screws > Internal Components,4.8,14127.0,50.99,2025-01-23T11:08:17Z,B07RW6Z692,https://www.amazon.com/Corsair-VENGEANCE-3200MHz-Compatible-Computer/dp/B07RW6Z692,Computers & Accessories
107,CanaKit,"[{""name"": ""Electronics""}, {""name"": ""Computers & Accessories""}, {""name"": ""Computer Components""}, {""name"": ""Desktop Barebones""}]",,USD,True,,,Raspberry Pi 5,CanaKit Raspberry Pi 5 Starter Kit PRO - Turbine Black (128GB Edition) (8GB RAM),Computers & Accessories > Computer Components > Computer Screws > Desktop Barebones,Computers & Accessories > Computer Components > Computer Screws > Desktop Barebones,4.6,595.0,159.99,2025-01-23T11:08:17Z,B0CRSNCJ6Y,https://www.amazon.com/CanaKit-Raspberry-Starter-Kit-PRO/dp/B0CRSNCJ6Y,Computers & Accessories
144,TAKAGI,"[{""name"": ""Electronics""}, {""name"": ""Computers & Accessories""}, {""name"": ""Computer Accessories & Peripherals""}, {""name"": ""Cables & Accessories""}, {""name"": ""Cables & Interconnects""}, {""name"": ""Lightning Cables""}]","white, grey",USD,True,19.99,Nylon,H-001,"TAKAGI for iPhone Charger, [MFi Certified] Lightning Cable 3PACK 6FT Nylon Braided USB Charging Cable High Speed Transfer Cord Compatible with iPhone 14/13/12/11 Pro Max/XS MAX/XR/XS/X/8/iPad",Cell Phones & Accessories > Accessories > Cables & Adapters > Lightning Cables,Cell Phones & Accessories > Accessories > Cables & Adapters > Lightning Cables,4.4,113152.0,9.99,2025-01-23T11:09:16Z,B07PHSF8DP,https://www.amazon.com/TAKAGI-Charging-Connector-Transfer-Compatible/dp/B07PHSF8DP,Cell Phones & Accessories
